title,description,genres
Black Panther: Wakanda Forever,The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa.,"['Action', 'Adventure', 'Drama']"
Avatar: The Way of Water,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.","['Action', 'Adventure', 'Fantasy']"
Plane,A pilot finds himself caught in a war zone after he's forced to land his commercial aircraft during a terrible storm.,"['Action', 'Adventure', 'Thriller']"
Everything Everywhere All at Once,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,"['Action', 'Adventure', 'Comedy']"
Fast X,Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.,"['Action', 'Crime', 'Mystery']"
Ant-Man and the Wasp: Quantumania,"Scott Lang and Hope Van Dyne, along with Hank Pym and Janet Van Dyne, explore the Quantum Realm, where they interact with strange creatures and embark on an adventure that goes beyond the limits of what they thought was possible.","['Action', 'Adventure', 'Comedy']"
Shotgun Wedding,Darcy and Tom gather their families for the ultimate destination wedding but when the entire wedding party is taken hostage the bride and groom must save their loved ones--if they don't kill each other first.,"['Action', 'Comedy', 'Romance']"
Bullet Train,Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.,"['Action', 'Comedy', 'Thriller']"
All Quiet on the Western Front,A young German soldier's terrifying experiences and distress on the western front during World War I.,"['Action', 'Drama', 'War']"
Top Gun: Maverick,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.","['Action', 'Drama']"
Pathaan,An Indian spy takes on the leader of a group of mercenaries who have nefarious plans to target his homeland.,"['Action', 'Adventure', 'Drama']"
Teen Wolf: The Movie,"A terrifying evil has emerged. The wolves howl once again, but only a Werewolf like Scott McCall, can gather both new allies and reunite trusted friends to fight back against what could be the most powerful and deadliest enemy.","['Action', 'Drama', 'Fantasy']"
Black Panther,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.","['Action', 'Adventure', 'Sci-Fi']"
The Batman,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.","['Action', 'Crime', 'Drama']"
Top Gun,"As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.","['Action', 'Drama']"
Avatar,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,"['Action', 'Adventure', 'Fantasy']"
The Wandering Earth II,"Humans built huge engines on the surface of the earth to find a new home. But the road to the universe is perilous. In order to save earth, young people once again have to step forward to start a race against time for life and death.","['Action', 'Adventure', 'Drama']"
Black Adam,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods--and imprisoned just as quickly--Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.","['Action', 'Adventure', 'Fantasy']"
Operation Fortune: Ruse de guerre,Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.,"['Action', 'Comedy', 'Thriller']"
Jurassic World: Dominion,"Four years after the destruction of Isla Nublar, Biosyn operatives attempt to track down Maisie Lockwood, while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects.","['Action', 'Adventure', 'Sci-Fi']"
The Hunger Games,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,"['Action', 'Adventure', 'Sci-Fi']"
Devotion,A pair of U.S. Navy fighter pilots risk their lives during the Korean War and become some of the Navy's most celebrated wingmen.,"['Action', 'Drama', 'War']"
The Northman,A young Viking prince is on a quest to avenge his father's murder.,"['Action', 'Adventure', 'Drama']"
Dune,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,"['Action', 'Adventure', 'Drama']"
The Flash,"Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future.","['Action', 'Adventure', 'Fantasy']"
The Unbearable Weight of Massive Talent,"In this action-packed comedy, Nicolas Cage plays Nick Cage, channeling his iconic characters as he's caught between a superfan (Pedro Pascal) and a CIA agent (Tiffany Haddish).","['Action', 'Comedy', 'Crime']"
The Woman King,"A historical epic inspired by true events that took place in The Kingdom of Dahomey, one of the most powerful states of Africa in the 18th and 19th centuries.","['Action', 'Drama', 'History']"
